[2016-11-23 16:39:50,121] >> Loading model
[2016-11-23 16:39:50,702] >> Loading datasets
[2016-11-23 16:39:52,238] >> Reconstruction training started with arguments:
{'activation_noise': None,
 'adadelta': False,
 'adadelta_epsilon': '1e-6',
 'adadelta_rho': '0.95',
 'adagrad': False,
 'adagrad_decay': False,
 'batch_size': 128,
 'ce_sparsity': 0.01,
 'ce_sparsity_weight': 0.0,
 'compound': False,
 'corruption_level': 0.2,
 'datasets': (DatasetContainer [PFileStreamDataset@/export/data1/data/ddraper/train.4.pfile],
              DatasetContainer [],
              DatasetContainer []),
 'epochs': 50,
 'fix_layers': [],
 'graph': False,
 'hooks': [],
 'l1_reg': '0.0',
 'l2_reg': '0.0',
 'layer_args': {},
 'layers': [1],
 'learning_rate': '0.01',
 'loss': u'mse',
 'minibatches': 2000000,
 'momentum': '',
 'noise': 'mask',
 'sparsity': 0.05,
 'sparsity_weight': 0.0,
 'validate': False,
 'verbosity': 1,
 'warn': False}
[2016-11-23 16:39:52,238] >> Reconstruction training started with da:
{'hidden_activation': u'sigmoid',
 u'loss': u'mse',
 'n_hidden': 1000,
 'n_visible': 966,
 'tied_weights': True,
 'visible_activation': u'tanh'}
[2016-11-23 16:39:52,238] >> Compiling theano graph
Using gpu device 0: Tesla M2075 (CNMeM is disabled, cuDNN not available)
[2016-11-23 16:41:58,947] >> Training started
[2016-11-23 19:14:54,502] >> epoch 3/700000, average cost 15.277055
[2016-11-23 19:17:06,869] >> epoch 3/710000, average cost 15.219702
[2016-11-23 19:18:50,613] >> epoch 3/720000, average cost 15.259871
[2016-11-23 19:21:17,241] >> epoch 3/730000, average cost 15.185403
[2016-11-23 19:21:31,259] >> epoch 4/733896, average cost 15.334478
[2016-11-23 19:26:12,265] >> epoch 4/750000, average cost 15.184465
[2016-11-23 19:29:16,765] >> epoch 4/760000, average cost 15.156028
[2016-11-23 19:31:02,722] >> epoch 4/770000, average cost 15.140821
[2016-11-23 19:33:56,758] >> epoch 4/780000, average cost 15.129745
[2016-11-23 19:36:15,171] >> epoch 4/790000, average cost 15.121647
[2016-11-23 19:38:25,880] >> epoch 4/800000, average cost 15.143011
[2016-11-23 19:39:20,204] >> epoch 4/810000, average cost 15.097575
[2016-11-23 19:41:38,350] >> epoch 4/820000, average cost 15.042553
[2016-11-23 19:43:47,774] >> epoch 4/830000, average cost 15.036282
[2016-11-23 19:45:00,880] >> epoch 4/840000, average cost 15.053848
[2016-11-23 19:47:01,494] >> epoch 4/850000, average cost 15.029175
[2016-11-23 19:48:40,483] >> epoch 4/860000, average cost 14.958694
[2016-11-23 19:51:47,644] >> epoch 4/870000, average cost 14.943261
[2016-11-23 19:53:52,446] >> epoch 4/880000, average cost 15.008094
[2016-11-23 19:56:56,219] >> epoch 4/890000, average cost 14.954645
[2016-11-23 19:59:42,369] >> epoch 4/900000, average cost 14.985103
[2016-11-23 20:01:26,882] >> epoch 4/910000, average cost 14.948492
[2016-11-23 20:03:00,580] >> epoch 5/917370, average cost 15.054627
[2016-11-23 20:06:37,709] >> epoch 5/930000, average cost 14.943644
[2016-11-23 20:10:48,291] >> epoch 5/940000, average cost 14.897595
[2016-11-23 20:15:10,496] >> epoch 5/950000, average cost 14.905653
[2016-11-23 20:17:27,834] >> epoch 5/960000, average cost 14.862143
[2016-11-23 20:21:57,545] >> epoch 5/970000, average cost 14.873872
[2016-11-23 20:23:56,848] >> epoch 5/980000, average cost 14.901526
[2016-11-23 20:27:09,210] >> epoch 5/990000, average cost 14.862542
[2016-11-23 20:29:12,952] >> epoch 5/1000000, average cost 14.845490
[2016-11-23 20:31:29,731] >> epoch 5/1010000, average cost 14.767473
[2016-11-23 20:34:37,182] >> epoch 5/1020000, average cost 14.818181
[2016-11-23 20:37:08,471] >> epoch 5/1030000, average cost 14.815980
[2016-11-23 20:40:41,983] >> epoch 5/1040000, average cost 14.753519
[2016-11-23 20:42:27,578] >> epoch 5/1050000, average cost 14.706263
[2016-11-23 20:44:35,518] >> epoch 5/1060000, average cost 14.756220
[2016-11-23 20:46:47,634] >> epoch 5/1070000, average cost 14.752188
[2016-11-23 20:49:16,305] >> epoch 5/1080000, average cost 14.739857
[2016-11-23 20:51:42,261] >> epoch 5/1090000, average cost 14.754176
[2016-11-23 20:53:04,532] >> epoch 5/1100000, average cost 14.690642
[2016-11-23 20:53:07,580] >> epoch 6/1100844, average cost 14.815161
[2016-11-23 20:59:20,180] >> epoch 6/1120000, average cost 14.681581
[2016-11-23 21:01:27,064] >> epoch 6/1130000, average cost 14.682363
[2016-11-23 21:04:42,078] >> epoch 6/1140000, average cost 14.637490
[2016-11-23 21:06:59,412] >> epoch 6/1150000, average cost 14.656364
[2016-11-23 21:09:58,584] >> epoch 6/1160000, average cost 14.660832
[2016-11-23 21:11:24,750] >> epoch 6/1170000, average cost 14.655842
[2016-11-23 21:13:38,612] >> epoch 6/1180000, average cost 14.625277
[2016-11-23 21:15:33,884] >> epoch 6/1190000, average cost 14.545536
[2016-11-23 21:16:57,455] >> epoch 6/1200000, average cost 14.597088
[2016-11-23 21:19:41,507] >> epoch 6/1210000, average cost 14.591369
[2016-11-23 21:20:59,845] >> epoch 6/1220000, average cost 14.548789
