[2016-11-25 14:56:07,038] >> Loading model
[2016-11-25 14:56:09,098] >> Loading datasets
[2016-11-25 14:56:09,109] >> Reconstruction training started with arguments:
{'activation_noise': None,
 'adadelta': False,
 'adadelta_epsilon': '1e-6',
 'adadelta_rho': '0.95',
 'adagrad': False,
 'adagrad_decay': False,
 'batch_size': 128,
 'ce_sparsity': 0.01,
 'ce_sparsity_weight': 0.0,
 'compound': False,
 'corruption_level': 0.2,
 'datasets': (DatasetContainer [PFileStreamDataset@/export/data1/data/ddraper/train.5.pfile],
              DatasetContainer [],
              DatasetContainer []),
 'epochs': 50,
 'fix_layers': [],
 'graph': False,
 'hooks': [],
 'l1_reg': '0.0',
 'l2_reg': '0.0',
 'layer_args': {},
 'layers': [1],
 'learning_rate': '0.01',
 'loss': u'mse',
 'minibatches': 2000000,
 'momentum': '',
 'noise': 'mask',
 'sparsity': 0.05,
 'sparsity_weight': 0.0,
 'validate': False,
 'verbosity': 1,
 'warn': False}
[2016-11-25 14:56:09,110] >> Reconstruction training started with da:
{'hidden_activation': u'sigmoid',
 u'loss': u'mse',
 'n_hidden': 1000,
 'n_visible': 966,
 'tied_weights': True,
 'visible_activation': u'tanh'}
[2016-11-25 14:56:09,110] >> Compiling theano graph
Using gpu device 0: Tesla M2075 (CNMeM is disabled, cuDNN not available)
[2016-11-25 14:57:10,425] >> Training started
[2016-11-25 16:47:47,575] >> epoch 3/700000, average cost 16.165493
[2016-11-25 16:48:49,124] >> epoch 3/710000, average cost 16.185410
[2016-11-25 16:49:17,471] >> epoch 4/715840, average cost 16.313004
[2016-11-25 16:51:38,172] >> epoch 4/730000, average cost 16.117655
[2016-11-25 16:52:37,881] >> epoch 4/740000, average cost 16.129196
[2016-11-25 16:54:07,869] >> epoch 4/750000, average cost 16.099358
[2016-11-25 16:55:14,314] >> epoch 4/760000, average cost 16.105108
[2016-11-25 16:56:42,646] >> epoch 4/770000, average cost 16.006824
[2016-11-25 16:57:51,551] >> epoch 4/780000, average cost 15.995797
[2016-11-25 16:59:21,891] >> epoch 4/790000, average cost 15.960661
[2016-11-25 17:00:33,432] >> epoch 4/800000, average cost 16.019772
[2016-11-25 17:02:00,292] >> epoch 4/810000, average cost 15.957151
[2016-11-25 17:03:10,096] >> epoch 4/820000, average cost 15.979691
[2016-11-25 17:04:28,867] >> epoch 4/830000, average cost 15.869016
[2016-11-25 17:06:06,230] >> epoch 4/840000, average cost 15.814862
[2016-11-25 17:07:13,884] >> epoch 4/850000, average cost 15.907104
[2016-11-25 17:08:41,272] >> epoch 4/860000, average cost 15.829126
[2016-11-25 17:09:54,785] >> epoch 4/870000, average cost 15.829719
[2016-11-25 17:11:29,305] >> epoch 4/880000, average cost 15.795225
[2016-11-25 17:12:33,455] >> epoch 4/890000, average cost 15.811289
[2016-11-25 17:12:58,733] >> epoch 5/894800, average cost 15.952208
[2016-11-25 17:15:19,899] >> epoch 5/910000, average cost 15.769176
[2016-11-25 17:16:24,230] >> epoch 5/920000, average cost 15.743044
[2016-11-25 17:17:44,128] >> epoch 5/930000, average cost 15.741715
[2016-11-25 17:18:47,932] >> epoch 5/940000, average cost 15.747953
[2016-11-25 17:20:11,678] >> epoch 5/950000, average cost 15.634497
[2016-11-25 17:21:44,963] >> epoch 5/960000, average cost 15.650731
[2016-11-25 17:22:50,048] >> epoch 5/970000, average cost 15.608180
[2016-11-25 17:24:23,410] >> epoch 5/980000, average cost 15.674650
[2016-11-25 17:25:31,065] >> epoch 5/990000, average cost 15.602658
[2016-11-25 17:26:49,008] >> epoch 5/1000000, average cost 15.636425
[2016-11-25 17:27:48,040] >> epoch 5/1010000, average cost 15.527287
[2016-11-25 17:29:19,772] >> epoch 5/1020000, average cost 15.498473
[2016-11-25 17:30:29,288] >> epoch 5/1030000, average cost 15.566340
[2016-11-25 17:32:04,790] >> epoch 5/1040000, average cost 15.503329
[2016-11-25 17:33:11,657] >> epoch 5/1050000, average cost 15.508238
[2016-11-25 17:34:35,722] >> epoch 5/1060000, average cost 15.474140
[2016-11-25 17:35:42,582] >> epoch 5/1070000, average cost 15.491965
[2016-11-25 17:35:56,908] >> epoch 6/1073760, average cost 15.609372
