[2016-11-25 13:41:24,025] >> Loading model
[2016-11-25 13:41:24,727] >> Loading datasets
[2016-11-25 13:41:24,768] >> Reconstruction training started with arguments:
{'activation_noise': None,
 'adadelta': False,
 'adadelta_epsilon': '1e-6',
 'adadelta_rho': '0.95',
 'adagrad': False,
 'adagrad_decay': False,
 'batch_size': 128,
 'ce_sparsity': 0.01,
 'ce_sparsity_weight': 0.0,
 'compound': False,
 'corruption_level': 0.2,
 'datasets': (DatasetContainer [PFileStreamDataset@/export/data1/data/ddraper/train.5.pfile],
              DatasetContainer [],
              DatasetContainer []),
 'epochs': 50,
 'fix_layers': [],
 'graph': False,
 'hooks': [],
 'l1_reg': '0.0',
 'l2_reg': '0.0',
 'layer_args': {},
 'layers': [1],
 'learning_rate': '0.01',
 'loss': u'mse',
 'minibatches': 2000000,
 'momentum': '',
 'noise': 'mask',
 'sparsity': 0.05,
 'sparsity_weight': 0.0,
 'validate': False,
 'verbosity': 1,
 'warn': False}
[2016-11-25 13:41:24,768] >> Reconstruction training started with da:
{'hidden_activation': u'sigmoid',
 u'loss': u'mse',
 'n_hidden': 1000,
 'n_visible': 966,
 'tied_weights': True,
 'visible_activation': u'tanh'}
[2016-11-25 13:41:24,768] >> Compiling theano graph
Using gpu device 0: Tesla M2075 (CNMeM is disabled, cuDNN not available)
[2016-11-25 13:42:53,781] >> Training started
[2016-11-25 13:44:32,434] >> epoch 0/10000, average cost 94.262962
[2016-11-25 13:47:07,674] >> epoch 0/20000, average cost 42.861282
[2016-11-25 13:48:41,427] >> epoch 0/30000, average cost 29.243706
[2016-11-25 13:51:05,723] >> epoch 0/40000, average cost 23.470003
[2016-11-25 13:52:16,696] >> epoch 0/50000, average cost 21.271965
[2016-11-25 13:54:21,542] >> epoch 0/60000, average cost 20.205307
[2016-11-25 13:56:27,605] >> epoch 0/70000, average cost 19.505096
[2016-11-25 13:58:01,958] >> epoch 0/80000, average cost 19.204786
[2016-11-25 14:00:44,219] >> epoch 0/90000, average cost 18.845789
[2016-11-25 14:02:11,909] >> epoch 0/100000, average cost 18.724566
[2016-11-25 14:04:02,438] >> epoch 0/110000, average cost 18.583090
[2016-11-25 14:05:33,701] >> epoch 0/120000, average cost 18.468824
[2016-11-25 14:07:51,649] >> epoch 0/130000, average cost 18.384756
[2016-11-25 14:09:38,532] >> epoch 0/140000, average cost 18.377054
[2016-11-25 14:11:28,725] >> epoch 0/150000, average cost 18.281387
[2016-11-25 14:13:27,724] >> epoch 0/160000, average cost 18.170078
[2016-11-25 14:15:16,561] >> epoch 0/170000, average cost 18.120691
[2016-11-25 14:17:08,753] >> epoch 1/178960, average cost 25.265087
[2016-11-25 14:21:12,170] >> epoch 1/190000, average cost 17.895363
[2016-11-25 14:23:53,582] >> epoch 1/200000, average cost 17.943060
[2016-11-25 14:25:24,862] >> epoch 1/210000, average cost 17.793077
[2016-11-25 14:28:33,526] >> epoch 1/220000, average cost 17.747032
[2016-11-25 14:31:05,184] >> epoch 1/230000, average cost 17.657282
[2016-11-25 14:32:34,365] >> epoch 1/240000, average cost 17.548691
[2016-11-25 14:35:14,161] >> epoch 1/250000, average cost 17.510660
[2016-11-25 14:36:44,866] >> epoch 1/260000, average cost 17.488411
[2016-11-25 14:39:15,133] >> epoch 1/270000, average cost 17.436380
[2016-11-25 14:40:51,611] >> epoch 1/280000, average cost 17.384226
[2016-11-25 14:42:58,564] >> epoch 1/290000, average cost 17.263376
[2016-11-25 14:44:56,373] >> epoch 1/300000, average cost 17.222307
[2016-11-25 14:46:27,326] >> epoch 1/310000, average cost 17.171328
[2016-11-25 14:48:53,260] >> epoch 1/320000, average cost 17.191971
[2016-11-25 14:50:27,843] >> epoch 1/330000, average cost 17.133394
[2016-11-25 14:52:27,911] >> epoch 1/340000, average cost 17.080065
[2016-11-25 14:53:41,534] >> epoch 1/350000, average cost 17.061714
[2016-11-25 14:54:31,753] >> epoch 2/357920, average cost 17.426853
[2016-11-25 14:56:40,134] >> epoch 2/370000, average cost 16.939293
[2016-11-25 14:58:47,780] >> epoch 2/380000, average cost 16.990301
[2016-11-25 15:01:35,649] >> epoch 2/390000, average cost 16.907246
[2016-11-25 15:03:20,263] >> epoch 2/400000, average cost 16.890665
[2016-11-25 15:05:55,707] >> epoch 2/410000, average cost 16.812954
[2016-11-25 15:07:30,343] >> epoch 2/420000, average cost 16.765755
[2016-11-25 15:10:04,010] >> epoch 2/430000, average cost 16.743132
[2016-11-25 15:11:41,912] >> epoch 2/440000, average cost 16.763573
[2016-11-25 15:14:37,050] >> epoch 2/450000, average cost 16.716816
[2016-11-25 15:17:19,754] >> epoch 2/460000, average cost 16.702414
[2016-11-25 15:18:54,525] >> epoch 2/470000, average cost 16.580404
[2016-11-25 15:21:36,733] >> epoch 2/480000, average cost 16.584667
[2016-11-25 15:23:18,161] >> epoch 2/490000, average cost 16.560179
[2016-11-25 15:26:06,455] >> epoch 2/500000, average cost 16.567198
[2016-11-25 15:27:38,954] >> epoch 2/510000, average cost 16.532539
[2016-11-25 15:30:18,966] >> epoch 2/520000, average cost 16.499878
[2016-11-25 15:32:53,725] >> epoch 2/530000, average cost 16.482706
[2016-11-25 15:33:19,991] >> epoch 3/536880, average cost 16.700994
[2016-11-25 15:37:04,805] >> epoch 3/550000, average cost 16.409357
[2016-11-25 15:38:35,839] >> epoch 3/560000, average cost 16.446060
[2016-11-25 15:40:59,017] >> epoch 3/570000, average cost 16.389273
[2016-11-25 15:42:15,247] >> epoch 3/580000, average cost 16.389498
[2016-11-25 15:44:19,766] >> epoch 3/590000, average cost 16.309248
[2016-11-25 15:45:42,339] >> epoch 3/600000, average cost 16.304445
[2016-11-25 15:47:40,804] >> epoch 3/610000, average cost 16.271889
[2016-11-25 15:49:37,842] >> epoch 3/620000, average cost 16.321493
[2016-11-25 15:50:51,474] >> epoch 3/630000, average cost 16.271315
[2016-11-25 15:52:25,239] >> epoch 3/640000, average cost 16.270876
[2016-11-25 15:53:36,568] >> epoch 3/650000, average cost 16.154621
[2016-11-25 15:55:06,580] >> epoch 3/660000, average cost 16.176825
