[2017-03-12 17:38:01,765] >> Loading model
[2017-03-12 17:38:02,209] >> Loading datasets
[2017-03-12 17:38:02,213] >> Reconstruction training started with arguments:
{'activation_noise': None,
 'adadelta': False,
 'adadelta_epsilon': '1e-6',
 'adadelta_rho': '0.95',
 'adagrad': False,
 'adagrad_decay': False,
 'batch_size': 128,
 'ce_sparsity': 0.01,
 'ce_sparsity_weight': 0.0,
 'compound': False,
 'corruption_level': 0.2,
 'datasets': (DatasetContainer [PFileStreamDataset@/export/data1/data/ddraper/train.ld.pfile],
              DatasetContainer [],
              DatasetContainer []),
 'epochs': 50,
 'fix_layers': [],
 'graph': False,
 'hooks': [],
 'l1_reg': '0.0',
 'l2_reg': '0.0',
 'layer_args': {},
 'layers': [1],
 'learning_rate': '0.01',
 'loss': u'mse',
 'minibatches': 2000000,
 'momentum': '',
 'noise': 'mask',
 'sparsity': 0.05,
 'sparsity_weight': 0.0,
 'validate': False,
 'verbosity': 1,
 'warn': False}
[2017-03-12 17:38:02,213] >> Reconstruction training started with da:
{'hidden_activation': u'sigmoid',
 u'loss': u'mse',
 'n_hidden': 1200,
 'n_visible': 966,
 'tied_weights': True,
 'visible_activation': u'tanh'}
[2017-03-12 17:38:02,213] >> Compiling theano graph
Using gpu device 0: Tesla M2075 (CNMeM is disabled, cuDNN not available)
[2017-03-12 17:38:28,587] >> Training started
[2017-03-12 18:57:01,011] >> epoch 7/700000, average cost 12.962033
[2017-03-12 18:57:35,119] >> epoch 8/705000, average cost 12.978675
[2017-03-12 18:59:16,916] >> epoch 8/720000, average cost 12.926341
[2017-03-12 19:00:22,613] >> epoch 8/730000, average cost 12.960253
[2017-03-12 19:01:30,392] >> epoch 8/740000, average cost 12.917366
[2017-03-12 19:02:35,728] >> epoch 8/750000, average cost 12.900302
[2017-03-12 19:03:43,132] >> epoch 8/760000, average cost 12.914028
[2017-03-12 19:04:50,366] >> epoch 8/770000, average cost 12.873693
[2017-03-12 19:05:57,594] >> epoch 8/780000, average cost 12.907334
[2017-03-12 19:06:59,882] >> epoch 8/790000, average cost 12.889932
[2017-03-12 19:07:21,459] >> epoch 9/793125, average cost 12.908772
[2017-03-12 19:09:17,388] >> epoch 9/810000, average cost 12.882985
[2017-03-12 19:10:23,842] >> epoch 9/820000, average cost 12.882824
[2017-03-12 19:11:31,696] >> epoch 9/830000, average cost 12.865932
[2017-03-12 19:12:37,122] >> epoch 9/840000, average cost 12.831746
[2017-03-12 19:13:42,899] >> epoch 9/850000, average cost 12.858536
[2017-03-12 19:14:50,822] >> epoch 9/860000, average cost 12.803680
[2017-03-12 19:15:58,716] >> epoch 9/870000, average cost 12.860799
[2017-03-12 19:17:00,344] >> epoch 9/880000, average cost 12.826739
[2017-03-12 19:17:08,974] >> epoch 10/881250, average cost 12.849483
[2017-03-12 19:19:15,988] >> epoch 10/900000, average cost 12.845704
[2017-03-12 19:20:26,187] >> epoch 10/910000, average cost 12.812444
[2017-03-12 19:21:32,808] >> epoch 10/920000, average cost 12.823043
[2017-03-12 19:22:39,896] >> epoch 10/930000, average cost 12.775574
[2017-03-12 19:23:46,030] >> epoch 10/940000, average cost 12.803748
[2017-03-12 19:24:53,806] >> epoch 10/950000, average cost 12.755566
[2017-03-12 19:25:59,552] >> epoch 10/960000, average cost 12.810508
[2017-03-12 19:26:56,829] >> epoch 11/969375, average cost 12.798298
[2017-03-12 19:28:11,938] >> epoch 11/980000, average cost 12.733288
[2017-03-12 19:29:19,567] >> epoch 11/990000, average cost 12.805923
[2017-03-12 19:30:27,486] >> epoch 11/1000000, average cost 12.750953
[2017-03-12 19:31:33,262] >> epoch 11/1010000, average cost 12.771839
[2017-03-12 19:32:38,920] >> epoch 11/1020000, average cost 12.736238
[2017-03-12 19:33:48,778] >> epoch 11/1030000, average cost 12.745890
[2017-03-12 19:34:54,716] >> epoch 11/1040000, average cost 12.720440
[2017-03-12 19:36:00,816] >> epoch 11/1050000, average cost 12.764278
[2017-03-12 19:36:47,700] >> epoch 12/1057500, average cost 12.751681
[2017-03-12 19:38:13,486] >> epoch 12/1070000, average cost 12.694021
[2017-03-12 19:39:21,888] >> epoch 12/1080000, average cost 12.768835
[2017-03-12 19:40:27,750] >> epoch 12/1090000, average cost 12.702937
[2017-03-12 19:41:35,952] >> epoch 12/1100000, average cost 12.720823
[2017-03-12 19:42:42,779] >> epoch 12/1110000, average cost 12.704377
[2017-03-12 19:43:48,100] >> epoch 12/1120000, average cost 12.687025
[2017-03-12 19:44:54,536] >> epoch 12/1130000, average cost 12.697140
[2017-03-12 19:45:56,701] >> epoch 12/1140000, average cost 12.711287
