[2016-11-08 12:04:27,014] >> Loading model
[2016-11-08 12:04:27,608] >> Loading datasets
[2016-11-08 12:04:27,657] >> Reconstruction training started with arguments:
{'activation_noise': None,
 'adadelta': False,
 'adadelta_epsilon': '1e-6',
 'adadelta_rho': '0.95',
 'adagrad': False,
 'adagrad_decay': False,
 'batch_size': 128,
 'ce_sparsity': 0.01,
 'ce_sparsity_weight': 0.0,
 'compound': False,
 'corruption_level': 0.2,
 'datasets': (DatasetContainer [PFileStreamDataset@/home/ddraper/train.pfile],
              DatasetContainer [],
              DatasetContainer []),
 'epochs': 50,
 'fix_layers': [],
 'graph': False,
 'hooks': [],
 'l1_reg': '0.0',
 'l2_reg': '0.0',
 'layer_args': {},
 'layers': [1],
 'learning_rate': '0.01',
 'loss': u'mse',
 'minibatches': 2000000,
 'momentum': '',
 'noise': 'mask',
 'sparsity': 0.05,
 'sparsity_weight': 0.0,
 'validate': False,
 'verbosity': 1,
 'warn': False}
[2016-11-08 12:04:27,658] >> Reconstruction training started with da:
{'hidden_activation': u'sigmoid',
 u'loss': u'mse',
 'n_hidden': 1000,
 'n_visible': 966,
 'tied_weights': True,
 'visible_activation': u'tanh'}
[2016-11-08 12:04:27,658] >> Compiling theano graph
Using gpu device 0: Tesla M2075 (CNMeM is disabled, cuDNN not available)
[2016-11-08 12:05:46,383] >> Training started
[2016-11-08 13:56:51,510] >> epoch 2/700000, average cost 14.069693
[2016-11-08 13:58:13,141] >> epoch 2/710000, average cost 14.064629
[2016-11-08 13:59:34,854] >> epoch 2/720000, average cost 14.087534
[2016-11-08 14:00:32,515] >> epoch 2/730000, average cost 14.042455
[2016-11-08 14:01:52,579] >> epoch 2/740000, average cost 14.005778
[2016-11-08 14:03:11,889] >> epoch 2/750000, average cost 14.062554
[2016-11-08 14:04:33,294] >> epoch 2/760000, average cost 14.058686
[2016-11-08 14:05:48,411] >> epoch 2/770000, average cost 14.040690
[2016-11-08 14:07:09,861] >> epoch 2/780000, average cost 13.998245
[2016-11-08 14:08:33,481] >> epoch 2/790000, average cost 13.948927
[2016-11-08 14:09:57,405] >> epoch 2/800000, average cost 13.999016
[2016-11-08 14:11:25,765] >> epoch 2/810000, average cost 13.992802
[2016-11-08 14:12:26,111] >> epoch 2/820000, average cost 13.980097
[2016-11-08 14:13:59,038] >> epoch 2/830000, average cost 13.970528
[2016-11-08 14:15:20,989] >> epoch 2/840000, average cost 13.941174
[2016-11-08 14:16:44,122] >> epoch 2/850000, average cost 13.955864
[2016-11-08 14:18:08,979] >> epoch 2/860000, average cost 13.957398
[2016-11-08 14:19:31,558] >> epoch 2/870000, average cost 13.949020
[2016-11-08 14:20:57,286] >> epoch 2/880000, average cost 13.876747
[2016-11-08 14:22:16,828] >> epoch 2/890000, average cost 13.886518
[2016-11-08 14:23:37,753] >> epoch 2/900000, average cost 13.902373
[2016-11-08 14:24:33,350] >> epoch 2/910000, average cost 13.851098
[2016-11-08 14:25:37,844] >> epoch 2/920000, average cost 13.864872
[2016-11-08 14:26:42,788] >> epoch 2/930000, average cost 13.862850
[2016-11-08 14:27:43,453] >> epoch 2/940000, average cost 13.842732
[2016-11-08 14:28:43,679] >> epoch 2/950000, average cost 13.854943
[2016-11-08 14:29:42,970] >> epoch 2/960000, average cost 13.811699
[2016-11-08 14:30:42,601] >> epoch 2/970000, average cost 13.831597
[2016-11-08 14:31:42,781] >> epoch 2/980000, average cost 13.860334
[2016-11-08 14:32:44,210] >> epoch 2/990000, average cost 13.810322
[2016-11-08 14:33:33,493] >> epoch 3/999990, average cost 13.953600
[2016-11-08 14:34:38,755] >> epoch 3/1010000, average cost 13.781859
[2016-11-08 14:36:11,884] >> epoch 3/1020000, average cost 13.827859
[2016-11-08 14:37:35,748] >> epoch 3/1030000, average cost 13.796550
[2016-11-08 14:39:03,068] >> epoch 3/1040000, average cost 13.780219
[2016-11-08 14:40:37,399] >> epoch 3/1050000, average cost 13.791757
[2016-11-08 14:42:05,894] >> epoch 3/1060000, average cost 13.788235
[2016-11-08 14:43:30,577] >> epoch 3/1070000, average cost 13.735511
[2016-11-08 14:45:02,339] >> epoch 3/1080000, average cost 13.769845
[2016-11-08 14:46:03,584] >> epoch 3/1090000, average cost 13.790091
[2016-11-08 14:47:41,159] >> epoch 3/1100000, average cost 13.787192
[2016-11-08 14:49:20,307] >> epoch 3/1110000, average cost 13.742045
[2016-11-08 14:50:53,013] >> epoch 3/1120000, average cost 13.700795
[2016-11-08 14:52:26,956] >> epoch 3/1130000, average cost 13.717810
[2016-11-08 14:54:05,623] >> epoch 3/1140000, average cost 13.733570
[2016-11-08 14:55:37,035] >> epoch 3/1150000, average cost 13.725644
[2016-11-08 14:57:01,748] >> epoch 3/1160000, average cost 13.716411
[2016-11-08 14:58:27,269] >> epoch 3/1170000, average cost 13.707545
[2016-11-08 14:59:27,360] >> epoch 3/1180000, average cost 13.664023
[2016-11-08 15:00:54,853] >> epoch 3/1190000, average cost 13.723190
[2016-11-08 15:02:23,798] >> epoch 3/1200000, average cost 13.700171
[2016-11-08 15:03:51,999] >> epoch 3/1210000, average cost 13.645721
[2016-11-08 15:05:19,450] >> epoch 3/1220000, average cost 13.629439
[2016-11-08 15:06:40,748] >> epoch 3/1230000, average cost 13.637331
[2016-11-08 15:08:03,563] >> epoch 3/1240000, average cost 13.632767
[2016-11-08 15:09:08,786] >> epoch 3/1250000, average cost 13.603146
[2016-11-08 15:10:13,837] >> epoch 3/1260000, average cost 13.628451
[2016-11-08 15:11:16,012] >> epoch 3/1270000, average cost 13.616488
[2016-11-08 15:12:21,381] >> epoch 3/1280000, average cost 13.606966
[2016-11-08 15:13:20,523] >> epoch 3/1290000, average cost 13.577214
[2016-11-08 15:14:23,509] >> epoch 3/1300000, average cost 13.576897
