[2017-03-17 12:47:22,295] >> Loading model
[2017-03-17 12:47:22,575] >> Loading datasets
[2017-03-17 12:47:22,577] >> Reconstruction training started with arguments:
{'activation_noise': None,
 'adadelta': False,
 'adadelta_epsilon': '1e-6',
 'adadelta_rho': '0.95',
 'adagrad': False,
 'adagrad_decay': False,
 'batch_size': 128,
 'ce_sparsity': 0.01,
 'ce_sparsity_weight': 0.0,
 'compound': False,
 'corruption_level': 0.2,
 'datasets': (DatasetContainer [PFileStreamDataset@/export/data1/data/ddraper/train.ld.pfile],
              DatasetContainer [],
              DatasetContainer []),
 'epochs': 50,
 'fix_layers': [],
 'graph': False,
 'hooks': [],
 'l1_reg': '0.0',
 'l2_reg': '0.0',
 'layer_args': {},
 'layers': [1],
 'learning_rate': '0.01',
 'loss': u'mse',
 'minibatches': 2000000,
 'momentum': '',
 'noise': 'mask',
 'sparsity': 0.05,
 'sparsity_weight': 0.0,
 'validate': False,
 'verbosity': 1,
 'warn': False}
[2017-03-17 12:47:22,577] >> Reconstruction training started with da:
{'hidden_activation': u'sigmoid',
 u'loss': u'mse',
 'n_hidden': 1000,
 'n_visible': 966,
 'tied_weights': True,
 'visible_activation': u'tanh'}
[2017-03-17 12:47:22,578] >> Compiling theano graph
Using gpu device 0: Tesla M2075 (CNMeM is disabled, cuDNN not available)
[2017-03-17 12:47:31,682] >> Training started
[2017-03-17 13:40:22,288] >> epoch 7/700000, average cost 13.167665
[2017-03-17 13:40:42,798] >> epoch 8/705000, average cost 13.186684
[2017-03-17 13:41:55,018] >> epoch 8/720000, average cost 13.131400
[2017-03-17 13:42:36,521] >> epoch 8/730000, average cost 13.156384
[2017-03-17 13:43:24,741] >> epoch 8/740000, average cost 13.111502
[2017-03-17 13:44:11,426] >> epoch 8/750000, average cost 13.095947
[2017-03-17 13:44:56,251] >> epoch 8/760000, average cost 13.107671
[2017-03-17 13:45:45,076] >> epoch 8/770000, average cost 13.062674
[2017-03-17 13:46:27,677] >> epoch 8/780000, average cost 13.102221
[2017-03-17 13:47:14,971] >> epoch 8/790000, average cost 13.086501
[2017-03-17 13:47:26,251] >> epoch 9/793125, average cost 13.104532
[2017-03-17 13:48:44,420] >> epoch 9/810000, average cost 13.077509
[2017-03-17 13:49:32,927] >> epoch 9/820000, average cost 13.073169
[2017-03-17 13:50:15,128] >> epoch 9/830000, average cost 13.048579
[2017-03-17 13:51:03,106] >> epoch 9/840000, average cost 13.020508
[2017-03-17 13:51:45,262] >> epoch 9/850000, average cost 13.044400
[2017-03-17 13:52:33,420] >> epoch 9/860000, average cost 12.992271
[2017-03-17 13:53:19,595] >> epoch 9/870000, average cost 13.040527
[2017-03-17 13:54:02,855] >> epoch 9/880000, average cost 13.006930
[2017-03-17 13:54:07,365] >> epoch 10/881250, average cost 13.036318
[2017-03-17 13:55:32,557] >> epoch 10/900000, average cost 13.025790
[2017-03-17 13:56:19,990] >> epoch 10/910000, average cost 12.987051
[2017-03-17 13:57:06,832] >> epoch 10/920000, average cost 13.001156
[2017-03-17 13:57:50,872] >> epoch 10/930000, average cost 12.949101
[2017-03-17 13:58:39,248] >> epoch 10/940000, average cost 12.976524
[2017-03-17 13:59:21,414] >> epoch 10/950000, average cost 12.928775
[2017-03-17 14:00:08,501] >> epoch 10/960000, average cost 12.984493
[2017-03-17 14:00:47,847] >> epoch 11/969375, average cost 12.974265
[2017-03-17 14:01:38,501] >> epoch 11/980000, average cost 12.903431
[2017-03-17 14:02:26,879] >> epoch 11/990000, average cost 12.974572
[2017-03-17 14:03:08,454] >> epoch 11/1000000, average cost 12.917181
[2017-03-17 14:03:55,753] >> epoch 11/1010000, average cost 12.943312
[2017-03-17 14:04:38,210] >> epoch 11/1020000, average cost 12.898840
[2017-03-17 14:05:26,956] >> epoch 11/1030000, average cost 12.910448
[2017-03-17 14:06:12,098] >> epoch 11/1040000, average cost 12.884500
[2017-03-17 14:06:54,890] >> epoch 11/1050000, average cost 12.924163
[2017-03-17 14:07:27,721] >> epoch 12/1057500, average cost 12.917480
[2017-03-17 14:08:24,743] >> epoch 12/1070000, average cost 12.854541
[2017-03-17 14:09:13,041] >> epoch 12/1080000, average cost 12.929325
[2017-03-17 14:09:58,211] >> epoch 12/1090000, average cost 12.860731
[2017-03-17 14:10:41,990] >> epoch 12/1100000, average cost 12.879866
[2017-03-17 14:11:30,699] >> epoch 12/1110000, average cost 12.860056
[2017-03-17 14:12:13,002] >> epoch 12/1120000, average cost 12.844632
[2017-03-17 14:13:00,168] >> epoch 12/1130000, average cost 12.850053
[2017-03-17 14:13:41,301] >> epoch 12/1140000, average cost 12.864388
[2017-03-17 14:14:07,904] >> epoch 13/1145625, average cost 12.865994
[2017-03-17 14:15:17,649] >> epoch 13/1160000, average cost 12.822353
