[2016-11-18 04:49:42,019] >> Loading model
[2016-11-18 04:49:44,699] >> Loading datasets
[2016-11-18 04:49:44,748] >> Reconstruction training started with arguments:
{'activation_noise': None,
 'adadelta': False,
 'adadelta_epsilon': '1e-6',
 'adadelta_rho': '0.95',
 'adagrad': False,
 'adagrad_decay': False,
 'batch_size': 128,
 'ce_sparsity': 0.01,
 'ce_sparsity_weight': 0.0,
 'compound': False,
 'corruption_level': 0.2,
 'datasets': (DatasetContainer [PFileStreamDataset@/home/ddraper/train.pfile],
              DatasetContainer [],
              DatasetContainer []),
 'epochs': 50,
 'fix_layers': [],
 'graph': False,
 'hooks': [],
 'l1_reg': '0.0',
 'l2_reg': '0.0',
 'layer_args': {},
 'layers': [1],
 'learning_rate': '0.01',
 'loss': u'mse',
 'minibatches': 2000000,
 'momentum': '',
 'noise': 'mask',
 'sparsity': 0.05,
 'sparsity_weight': 0.0,
 'validate': False,
 'verbosity': 1,
 'warn': False}
[2016-11-18 04:49:44,748] >> Reconstruction training started with da:
{'hidden_activation': u'sigmoid',
 u'loss': u'mse',
 'n_hidden': 1000,
 'n_visible': 966,
 'tied_weights': True,
 'visible_activation': u'tanh'}
[2016-11-18 04:49:44,748] >> Compiling theano graph
Using gpu device 0: Tesla M2075 (CNMeM is disabled, cuDNN not available)
[2016-11-18 04:51:18,840] >> Training started
[2016-11-18 08:06:55,044] >> epoch 2/700000, average cost 14.123172
[2016-11-18 08:08:49,711] >> epoch 2/710000, average cost 14.095036
[2016-11-18 08:12:36,436] >> epoch 2/720000, average cost 14.135140
[2016-11-18 08:14:28,270] >> epoch 2/730000, average cost 14.092032
[2016-11-18 08:18:10,954] >> epoch 2/740000, average cost 14.074329
[2016-11-18 08:20:35,137] >> epoch 2/750000, average cost 14.107039
[2016-11-18 08:24:15,385] >> epoch 2/760000, average cost 14.103469
[2016-11-18 08:26:09,735] >> epoch 2/770000, average cost 14.098969
[2016-11-18 08:28:55,382] >> epoch 2/780000, average cost 14.041681
[2016-11-18 08:30:46,345] >> epoch 2/790000, average cost 14.002259
[2016-11-18 08:34:45,164] >> epoch 2/800000, average cost 14.060936
[2016-11-18 08:39:52,009] >> epoch 2/810000, average cost 14.040866
[2016-11-18 08:44:25,436] >> epoch 2/820000, average cost 14.027195
[2016-11-18 08:47:52,102] >> epoch 2/830000, average cost 14.028293
[2016-11-18 08:49:37,264] >> epoch 2/840000, average cost 13.993730
[2016-11-18 08:52:09,821] >> epoch 2/850000, average cost 13.989040
[2016-11-18 08:53:47,921] >> epoch 2/860000, average cost 14.024814
[2016-11-18 08:56:38,171] >> epoch 2/870000, average cost 13.987420
[2016-11-18 08:58:31,046] >> epoch 2/880000, average cost 13.914186
[2016-11-18 09:01:09,322] >> epoch 2/890000, average cost 13.944589
[2016-11-18 09:02:43,343] >> epoch 2/900000, average cost 13.961575
[2016-11-18 09:05:39,828] >> epoch 2/910000, average cost 13.894894
[2016-11-18 09:07:20,899] >> epoch 2/920000, average cost 13.909169
[2016-11-18 09:10:06,706] >> epoch 2/930000, average cost 13.898945
[2016-11-18 09:11:48,808] >> epoch 2/940000, average cost 13.873304
[2016-11-18 09:14:45,832] >> epoch 2/950000, average cost 13.910042
[2016-11-18 09:17:38,972] >> epoch 2/960000, average cost 13.845879
[2016-11-18 09:19:27,919] >> epoch 2/970000, average cost 13.902622
[2016-11-18 09:22:20,513] >> epoch 2/980000, average cost 13.892769
[2016-11-18 09:24:05,404] >> epoch 2/990000, average cost 13.845109
[2016-11-18 09:25:54,098] >> epoch 3/999990, average cost 14.001016
[2016-11-18 09:29:14,274] >> epoch 3/1010000, average cost 13.823837
[2016-11-18 09:31:58,720] >> epoch 3/1020000, average cost 13.862967
[2016-11-18 09:33:38,209] >> epoch 3/1030000, average cost 13.838787
[2016-11-18 09:36:24,177] >> epoch 3/1040000, average cost 13.800728
[2016-11-18 09:38:01,176] >> epoch 3/1050000, average cost 13.826297
[2016-11-18 09:40:56,947] >> epoch 3/1060000, average cost 13.819519
[2016-11-18 09:42:50,043] >> epoch 3/1070000, average cost 13.768229
[2016-11-18 09:45:46,842] >> epoch 3/1080000, average cost 13.801859
[2016-11-18 09:47:27,812] >> epoch 3/1090000, average cost 13.809512
[2016-11-18 09:49:56,648] >> epoch 3/1100000, average cost 13.813308
[2016-11-18 09:51:49,812] >> epoch 3/1110000, average cost 13.758775
[2016-11-18 09:54:13,279] >> epoch 3/1120000, average cost 13.743380
[2016-11-18 09:55:55,205] >> epoch 3/1130000, average cost 13.746030
[2016-11-18 09:59:08,760] >> epoch 3/1140000, average cost 13.749783
[2016-11-18 10:01:52,168] >> epoch 3/1150000, average cost 13.753186
[2016-11-18 10:03:22,612] >> epoch 3/1160000, average cost 13.732075
[2016-11-18 10:05:47,536] >> epoch 3/1170000, average cost 13.734282
[2016-11-18 10:07:43,127] >> epoch 3/1180000, average cost 13.689747
[2016-11-18 10:10:36,187] >> epoch 3/1190000, average cost 13.737817
[2016-11-18 10:12:13,082] >> epoch 3/1200000, average cost 13.727556
[2016-11-18 10:14:57,032] >> epoch 3/1210000, average cost 13.635740
[2016-11-18 10:16:48,201] >> epoch 3/1220000, average cost 13.672879
[2016-11-18 10:19:35,931] >> epoch 3/1230000, average cost 13.660864
[2016-11-18 10:21:17,827] >> epoch 3/1240000, average cost 13.657471
[2016-11-18 10:24:47,345] >> epoch 3/1250000, average cost 13.624341
[2016-11-18 10:26:33,069] >> epoch 3/1260000, average cost 13.630441
[2016-11-18 10:29:43,053] >> epoch 3/1270000, average cost 13.624425
[2016-11-18 10:31:27,390] >> epoch 3/1280000, average cost 13.620712
[2016-11-18 10:34:07,337] >> epoch 3/1290000, average cost 13.594413
[2016-11-18 10:37:25,387] >> epoch 3/1300000, average cost 13.605065
[2016-11-18 10:39:06,428] >> epoch 3/1310000, average cost 13.632464
[2016-11-18 10:42:13,523] >> epoch 3/1320000, average cost 13.584167
[2016-11-18 10:43:59,528] >> epoch 3/1330000, average cost 13.599097
[2016-11-18 10:44:11,820] >> epoch 4/1333320, average cost 13.716551
[2016-11-18 10:48:54,693] >> epoch 4/1350000, average cost 13.567080
[2016-11-18 10:51:23,169] >> epoch 4/1360000, average cost 13.597975
[2016-11-18 10:53:02,143] >> epoch 4/1370000, average cost 13.539853
[2016-11-18 10:55:40,403] >> epoch 4/1380000, average cost 13.544092
[2016-11-18 10:57:14,443] >> epoch 4/1390000, average cost 13.575888
[2016-11-18 11:00:13,004] >> epoch 4/1400000, average cost 13.514421
[2016-11-18 11:01:46,362] >> epoch 4/1410000, average cost 13.531737
[2016-11-18 11:04:30,314] >> epoch 4/1420000, average cost 13.549072
[2016-11-18 11:06:04,706] >> epoch 4/1430000, average cost 13.549457
[2016-11-18 11:08:34,142] >> epoch 4/1440000, average cost 13.525621
[2016-11-18 11:10:36,233] >> epoch 4/1450000, average cost 13.498659
[2016-11-18 11:13:06,565] >> epoch 4/1460000, average cost 13.454836
[2016-11-18 11:14:09,346] >> epoch 4/1470000, average cost 13.497168
[2016-11-18 11:16:43,139] >> epoch 4/1480000, average cost 13.497866
[2016-11-18 11:18:38,232] >> epoch 4/1490000, average cost 13.468875
[2016-11-18 11:20:07,109] >> epoch 4/1500000, average cost 13.487806
[2016-11-18 11:22:17,005] >> epoch 4/1510000, average cost 13.429370
[2016-11-18 11:24:03,151] >> epoch 4/1520000, average cost 13.464919
[2016-11-18 11:27:13,766] >> epoch 4/1530000, average cost 13.470290
[2016-11-18 11:28:53,405] >> epoch 4/1540000, average cost 13.401284
[2016-11-18 11:31:14,561] >> epoch 4/1550000, average cost 13.401717
[2016-11-18 11:32:53,025] >> epoch 4/1560000, average cost 13.393060
[2016-11-18 11:35:13,697] >> epoch 4/1570000, average cost 13.422034
[2016-11-18 11:36:50,041] >> epoch 4/1580000, average cost 13.344191
[2016-11-18 11:39:31,005] >> epoch 4/1590000, average cost 13.376331
[2016-11-18 11:41:17,082] >> epoch 4/1600000, average cost 13.368041
[2016-11-18 11:43:57,467] >> epoch 4/1610000, average cost 13.336825
[2016-11-18 11:46:36,109] >> epoch 4/1620000, average cost 13.359853
[2016-11-18 11:48:16,649] >> epoch 4/1630000, average cost 13.316653
[2016-11-18 11:51:31,422] >> epoch 4/1640000, average cost 13.363800
[2016-11-18 11:53:06,194] >> epoch 4/1650000, average cost 13.333698
[2016-11-18 11:55:51,782] >> epoch 4/1660000, average cost 13.323303
[2016-11-18 11:56:16,736] >> epoch 5/1666650, average cost 13.453273
[2016-11-18 12:00:22,070] >> epoch 5/1680000, average cost 13.281451
[2016-11-18 12:01:50,557] >> epoch 5/1690000, average cost 13.345434
[2016-11-18 12:04:25,787] >> epoch 5/1700000, average cost 13.284523
[2016-11-18 12:06:08,747] >> epoch 5/1710000, average cost 13.270347
[2016-11-18 12:08:45,007] >> epoch 5/1720000, average cost 13.309878
[2016-11-18 12:10:20,352] >> epoch 5/1730000, average cost 13.265841
[2016-11-18 12:12:50,479] >> epoch 5/1740000, average cost 13.252472
[2016-11-18 12:14:29,925] >> epoch 5/1750000, average cost 13.280025
